r,dmax,b,h,d,ad,ro,row,fy,fyw,fc,V,MF,M
50.00,25.00,300.00,460.00,375.00,3.20,2.71,0.00,450.00,0.00,32.10,171.80,1,206.16
50.00,25.00,300.00,460.00,375.00,3.20,2.03,0.00,450.00,0.00,35.50,148.60,1,178.32
100.00,25.00,300.00,460.00,375.00,3.20,2.71,0.00,450.00,0.00,30.00,131.40,1,157.68
50.00,25.00,305.00,460.00,380.00,3.16,2.03,0.00,414.00,0.00,32.00,151.20,1,181.56
30.00,19.00,150.00,300.00,250.00,3.00,2.14,0.00,420.00,0.00,21.20,29.00,1,21.75
100.00,19.00,206.00,306.00,260.00,3.00,1.90,0.00,457.00,0.00,23.20,46.50,1,36.27
50.00,19.00,206.00,306.00,260.00,3.00,1.90,0.00,457.00,0.00,25.20,49.10,1,38.30
100.00,25.00,170.00,300.00,270.00,3.00,1.10,0.00,430.00,0.00,31.20,55.10,1,44.63
50.00,25.00,300.00,460.00,375.00,3.00,2.71,0.00,449.00,0.00,35.50,168.70,1,189.79
50.00,25.00,305.00,460.00,380.00,3.00,2.71,0.00,414.00,0.00,32.00,171.70,1,195.74
50.00,25.00,305.00,460.00,380.00,3.00,2.71,0.00,414.00,0.00,35.50,168.60,1,192.20
10.00,19.00,150.00,420.00,388.00,3.00,0.79,0.00,534.00,0.00,36.60,44.50,1,51.80
20.00,19.00,150.00,420.00,388.00,3.00,0.79,0.00,534.00,0.00,35.00,40.10,1,46.68
20.00,19.00,150.00,420.00,388.00,3.00,0.79,0.00,534.00,0.00,35.30,48.90,1,56.92
35.00,19.00,150.00,420.00,388.00,3.00,0.79,0.00,534.00,0.00,35.30,45.10,1,52.50
50.00,19.00,150.00,420.00,388.00,3.00,0.79,0.00,534.00,0.00,38.10,47.00,1,54.71
75.00,19.00,150.00,420.00,388.00,3.00,0.79,0.00,534.00,0.00,36.60,47.40,1,55.17
100.00,19.00,150.00,420.00,388.00,3.00,0.79,0.00,534.00,0.00,35.80,42.50,1,49.47
5.00,19.00,150.00,420.00,388.00,3.00,0.79,0.00,534.00,0.00,37.40,56.00,1,65.18
10.00,19.00,150.00,420.00,388.00,3.00,0.79,0.00,534.00,0.00,34.80,52.50,1,61.11
16.00,19.00,150.00,420.00,388.00,3.00,0.79,0.00,534.00,0.00,35.40,54.20,1,63.09
23.00,19.00,150.00,420.00,388.00,3.00,0.79,0.00,534.00,0.00,34.00,47.30,1,55.06
35.00,19.00,150.00,420.00,388.00,3.00,0.79,0.00,534.00,0.00,35.10,42.50,1,49.47
50.00,25.00,300.00,460.00,400.00,3.00,1.27,0.00,449.00,0.00,32.10,117.50,1,141.00
50.00,25.00,300.00,460.00,400.00,3.00,1.27,0.00,449.00,0.00,35.50,111.70,1,134.04
100.00,25.00,300.00,460.00,400.00,3.00,1.27,0.00,449.00,0.00,30.00,114.80,1,137.76
100.00,25.00,300.00,460.00,400.00,3.00,1.27,0.00,449.00,0.00,34.10,113.00,1,135.60
50.00,25.00,305.00,460.00,400.00,3.00,1.27,0.00,414.00,0.00,32.00,117.40,1,140.88
50.00,25.00,305.00,460.00,400.00,3.00,1.27,0.00,414.00,0.00,35.50,111.60,1,133.92
100.00,25.00,200.00,350.00,304.00,2.97,0.17,0.00,500.00,544.00,39.75,163.00,1,147.17
50.00,25.00,200.00,350.00,304.00,2.97,0.12,0.00,500.00,544.00,41.34,164.00,1,148.07
100.00,25.00,200.00,350.00,304.00,2.97,0.12,0.00,500.00,544.00,39.75,168.00,1,151.68
25.00,25.00,200.00,350.00,304.00,2.97,0.17,0.00,500.00,544.00,42.38,169.00,1,152.59
50.00,25.00,200.00,350.00,304.00,2.97,0.17,0.00,500.00,544.00,41.34,176.00,1,158.91
25.00,25.00,200.00,350.00,304.00,2.97,0.22,0.00,500.00,544.00,42.38,186.50,1,168.39
100.00,25.00,200.00,350.00,304.00,2.97,0.22,0.00,500.00,544.00,39.75,189.50,1,171.10
50.00,25.00,200.00,350.00,304.00,2.97,0.22,0.00,500.00,544.00,41.34,220.00,1,198.63
25.00,25.00,200.00,350.00,304.00,2.97,0.12,0.00,500.00,544.00,42.38,238.00,1,214.89
50.00,25.00,305.00,460.00,380.00,2.90,2.03,0.00,414.00,0.00,35.50,148.60,1,163.76
0.00,20.00,150.00,280.00,220.00,2.73,1.90,0.00,560.00,0.00,24.90,96.00,1,57.66
30.00,20.00,150.00,280.00,220.00,2.73,1.90,0.00,560.00,0.00,20.90,81.00,1,48.65
100.00,20.00,150.00,280.00,220.00,2.73,1.90,0.00,560.00,0.00,25.70,86.00,1,51.65
74.30,19.00,200.00,385.00,301.00,2.70,3.20,0.50,420.00,530.00,49.10,308.00,0,250.31
63.50,19.00,200.00,339.00,304.00,2.70,1.99,0.88,420.00,450.00,41.60,184.50,0,151.44
63.50,19.00,200.00,339.00,304.00,2.70,3.31,1.01,420.00,530.00,41.60,305.50,0,250.75
74.30,19.00,200.00,339.00,304.00,2.70,1.99,0.88,420.00,450.00,49.10,185.70,0,152.42
74.30,19.00,200.00,339.00,304.00,2.70,3.31,1.01,420.00,530.00,49.10,305.00,0,250.34
0.00,19.00,200.00,339.00,304.00,2.70,3.33,1.01,420.00,530.00,37.10,283.30,0,232.53
0.00,19.00,200.00,339.00,304.00,2.70,3.33,1.01,420.00,530.00,33.80,281.20,0,230.81
100.00,20.00,200.00,300.00,265.00,2.60,1.61,0.32,508.00,352.00,41.52,161.97,0,111.60
100.00,20.00,200.00,300.00,265.00,2.60,1.61,0.32,508.00,352.00,45.47,162.12,0,111.70
100.00,20.00,200.00,300.00,265.00,2.60,1.31,0.32,508.00,352.00,46.67,165.04,0,113.71
100.00,20.00,200.00,300.00,265.00,2.60,0.75,0.28,590.00,352.00,46.04,114.75,0,79.06
100.00,20.00,200.00,300.00,265.00,2.60,0.75,0.28,590.00,352.00,46.54,114.40,0,78.82
100.00,20.00,200.00,300.00,265.00,2.60,0.42,0.28,543.00,352.00,46.35,65.05,0,44.82
100.00,20.00,200.00,300.00,265.00,2.60,0.42,0.28,543.00,352.00,45.99,65.89,0,45.40
100.00,20.00,200.00,300.00,270.00,2.60,1.31,0.00,650.00,0.00,46.67,92.30,1,64.79
100.00,20.00,200.00,300.00,270.00,2.60,0.75,0.00,590.00,0.00,46.75,81.30,1,57.07
100.00,20.00,200.00,300.00,270.00,2.60,0.75,0.00,590.00,0.00,46.48,81.10,1,56.93
63.50,19.00,200.00,339.00,304.00,2.60,0.49,0.39,420.00,450.00,41.60,57.50,0,45.45
63.50,19.00,200.00,339.00,304.00,2.60,3.26,1.77,420.00,450.00,41.60,279.70,0,221.07
74.30,19.00,200.00,339.00,304.00,2.60,0.49,0.39,420.00,450.00,49.10,58.40,0,46.16
74.30,19.00,200.00,339.00,304.00,2.60,3.26,1.77,420.00,450.00,49.10,283.80,0,224.32
0.00,19.00,200.00,339.00,304.00,2.60,1.99,0.88,420.00,450.00,37.10,178.50,0,141.09
0.00,19.00,200.00,339.00,304.00,2.60,1.99,0.88,420.00,450.00,33.80,175.30,0,138.56
63.50,19.00,200.00,375.00,306.00,2.60,2.46,0.25,420.00,530.00,41.60,172.00,0,136.84
63.50,19.00,200.00,375.00,306.00,2.60,3.20,0.50,420.00,530.00,41.60,308.00,0,245.04
0.00,19.00,200.00,385.00,309.00,2.60,3.20,0.50,420.00,530.00,38.80,287.00,0,230.58
0.00,19.00,200.00,385.00,309.00,2.60,3.20,0.50,420.00,530.00,34.40,284.00,0,228.17
0.00,20.00,100.00,200.00,180.00,2.50,1.90,0.30,560.00,305.00,37.92,37.00,1,16.65
25.00,20.00,100.00,200.00,180.00,2.50,1.90,0.30,560.00,305.00,30.42,47.30,1,21.29
50.00,20.00,100.00,200.00,180.00,2.50,1.90,0.30,560.00,305.00,29.58,34.30,1,15.44
25.00,19.00,150.00,300.00,265.00,2.50,1.10,0.00,423.00,0.00,20.00,80.80,1,53.53
